Price,Model,Mileage_km,Engine_cc,Vehicle_Age,Has_AC,Has_PowerSteering,Has_PowerMirror,Transmission_Manual,Fuel_Type_Electric,Fuel_Type_Gas,Fuel_Type_Hybrid,Fuel_Type_Petrol,Make_ford,Make_honda,Make_hyundai,Make_kia,Make_mazda,Make_mitsubishi,Make_nissan,Make_perodua,Make_suzuki,Make_toyota
56500000.0,Land Cruiser Prado 250,8000.0,2690.0,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1850000.0,Corona AT 170,178630.0,1500.0,37,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
15285000.0,KDH 200,132000.0,2495.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3375000.0,TownAce CR27,132000.0,1990.0,37,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2990000.0,Corolla AE100,142524.0,1500.0,35,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6990000.0,Hiace LH113,236580.0,2770.0,35,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6475000.0,Corolla 121,137250.0,1500.0,20,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2975000.0,COROLLA AE100,160000.0,1500.0,34,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
5450000.0,Vitz SCP90,110650.0,1300.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
17700000.0,Land Cruiser Prado 120 1KD,209000.0,3000.0,19,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7975000.0,Land Cruiser Prado 150 TRJ,118000.0,2640.0,11,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7150000.0,Corolla 141,216000.0,1600.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8550000.0,Dolphin LH 123,223000.0,2900.0,33,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
57800000.0,Land Cruiser LC250,132000.0,2700.0,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1875000.0,Noah KR42,153000.0,2000.0,28,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3600000.0,Starlet Ep91,166000.0,1330.0,30,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8200000.0,Allion 260,150285.0,1490.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2400000.0,Corona At170,180000.0,1490.0,36,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8850000.0,Allion 260,168000.0,1500.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14500000.0,Dolphin LH172 Super GL,283000.0,2980.0,22,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3150000.0,Corolla Elephant Back 106,175000.0,1980.0,27,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6950000.0,Dolphin LH113,2.0,2800.0,35,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18500000.0,KDH 220,295000.0,2500.0,19,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6050000.0,Cr41,158000.0,2000.0,29,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59200000.0,Land Cruiser Prado LC250 VX,132000.0,2700.0,1,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
690000.0,At 140,2580000.0,1500.0,43,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8575000.0,PRIUS S CRUISE 8,176500.0,1800.0,16,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
4825000.0,COROLLA AE110,170043.0,1500.0,29,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
36300000.0,Land Cruiser Prado 150 TX 6fwrd,133000.0,2700.0,10,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
5950000.0,COROLLA 121 X GRADE,215000.0,1500.0,22,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
59200000.0,LC 250 Prado,900.0,2700.0,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6300000.0,Allion 240,143000.0,1500.0,24,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11575000.0,Allion 260 G,131000.0,1500.0,12,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11000000.0,Dolphin LH172,250000.0,2980.0,28,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2875000.0,Carina 192,200000.0,1500.0,32,1,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
21400000.0,KDH 223,40.0,3000.0,1,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8675000.0,Dolphin 119 Super GL,320000.0,2800.0,29,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7750000.0,119,1234.0,1500.0,31,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15685000.0,KR 200K,132000.0,2490.0,19,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7200000.0,Axio 141,1400000.0,1500.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1690000.0,EE96,190000.0,1300.0,36,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8575000.0,Allion 260,238000.0,1500.0,15,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
21000000.0,KDH 201 GL,240000.0,2980.0,15,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27700000.0,Prado 150 TX,155000.0,2700.0,14,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1150000.0,Corona AT140,1111.0,1500.0,42,1,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7950000.0,CR42,290000.0,,23,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16700000.0,Yaris ATIV 1 2 Premium Luxury,132000.0,1200.0,1,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
12000000.0,Dolphin 172,165000.0,2980.0,27,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6000000.0,LH113,135000.0,2800.0,34,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4450000.0,Hiace Shell Lh61,132000.0,2440.0,37,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1200000.0,Dx Wagon KE72,245125.0,1290.0,40,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
21500000.0,KDH 223 High Roof,90.0,2982.0,1,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7250000.0,Allion 240 G Grade,138500.0,1500.0,23,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
4575000.0,Lotto CR27,250000.0,1500.0,34,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21450000.0,KDH 201 SUPER GL,95000.0,3000.0,11,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
63500000.0,LC250 Prado First Edition,800.0,2700.0,2,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
22800000.0,KDH 223,157600.0,3000.0,10,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7975000.0,Vitz KSP130 Edition 2,45000.0,10000.0,8,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3475000.0,TOWNACE CR27,347500.0,1979.0,35,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59900000.0,Land Cruiser TRJ250,900.0,2700.0,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
12500000.0,Raize Z Hybrid A202A,4000.0,1190.0,1,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2850000.0,Carina AT192,123456.0,1500.0,31,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8500000.0,Dolphin 129,400000.0,2800.0,30,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20000000.0,Kdh 201,110000.0,2982.0,11,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9450000.0,Axio 161,70000.0,1500.0,13,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
57000000.0,Land Cruiser Prado Lc 250 First Edition,10000.0,2700.0,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
48500000.0,Land Cruiser Prado 150 TZ G,82000.0,2800.0,10,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12600000.0,Dolphin Super Long 182,132000.0,2980.0,26,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7100000.0,Axio 141,248000.0,1500.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8800000.0,KR42,165000.0,1500.0,19,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
